Date,Well_ID,DTW_ft,LSE_ft,WL_elev_ft,P_ft,Temp_mean_F
1985-02-01,CWF-1A,12.035,3778.4,3766.365,0.0,48.492062364999995
1985-03-01,CWF-1A,10.73,3778.4,3767.67,0.0,44.5139915
1985-04-01,CWF-1A,10.52,3778.4,3767.88,0.0,71.8342334
1985-05-01,CWF-1A,10.24,3778.4,3768.16,0.0,73.95742901
1985-06-01,CWF-1A,9.61,3778.4,3768.79,0.0,76.55196102
1985-07-01,CWF-1A,9.17,3778.4,3769.23,0.0,85.43416816
1985-11-01,CWF-1A,11.18,3778.4,3767.2200000000003,0.0,50.50108641
1985-12-01,CWF-1A,11.42,3778.4,3766.98,0.0,38.01832671
1986-01-01,CWF-1A,10.72,3778.4,3767.68,0.0,49.38026799
1986-02-01,CWF-1A,10.46,3778.4,3767.94,0.0,63.88444602
1986-03-01,CWF-1A,10.16,3778.4,3768.24,0.0,45.00602355
1986-04-01,CWF-1A,9.66,3778.4,3768.74,0.0,67.01560265
1986-06-01,CWF-1A,9.37,3778.4,3769.03,0.004072917624931001,74.48343637
1986-07-01,CWF-1A,8.82,3778.4,3769.58,0.016292990161112,77.99223605
1986-08-01,CWF-1A,9.13,3778.4,3769.27,0.00012441091902100002,76.96555583
1986-09-01,CWF-1A,9.82,3778.4,3768.58,0.0,75.49558066
1986-10-01,CWF-1A,8.84,3778.4,3769.56,0.0,66.49542873
1986-11-01,CWF-1A,9.35,3778.4,3769.05,0.0,45.467020274999996
1987-01-01,CWF-1A,8.98,3778.4,3769.42,0.0,44.51800816
1987-12-01,CWF-1A,11.13,3778.4,3767.27,0.0,41.50716731
1988-12-01,CWF-1A,11.01,3778.4,3767.39,0.0,40.50634129
1989-01-01,CWF-1A,11.26,3778.4,3767.14,0.0,47.48906499
1989-02-01,CWF-1A,11.04,3778.4,3767.36,0.0,50.49083583
1989-03-01,CWF-1A,9.14,3778.4,3769.26,1.0720540451000004e-05,68.40288648
1989-04-01,CWF-1A,10.03,3778.4,3768.37,0.0,75.48903537
1989-05-01,CWF-1A,9.85,3778.4,3768.55,0.0,76.47998576
1989-06-01,CWF-1A,9.17,3778.4,3769.23,0.0,86.49220479
