id,CWF-4B,CWF-4B,CWF-4B,LC-1A,LC-1A,LC-1A,LC-1B,LC-1B,LC-1B,LC-1C,LC-1C,LC-1C,LC-2A,LC-2A,LC-2A,LC-2B,LC-2B,LC-2B,LC-2C,LC-2C,LC-2C,LC-3A,LC-3A,LC-3A,LC-3C,LC-3C,LC-3C,M-1B,M-1B,M-1B,M-1C,M-1C,M-1C,M-2A,M-2A,M-2A,M-2B,M-2B,M-2B,M-2C,M-2C,M-2C,M-4A,M-4A,M-4A,M-4B,M-4B,M-4B,M-4C,M-4C,M-4C
,mean_temp,precip,wl,mean_temp,precip,wl,mean_temp,precip,wl,mean_temp,precip,wl,mean_temp,precip,wl,mean_temp,precip,wl,mean_temp,precip,wl,mean_temp,precip,wl,mean_temp,precip,wl,mean_temp,precip,wl,mean_temp,precip,wl,mean_temp,precip,wl,mean_temp,precip,wl,mean_temp,precip,wl,mean_temp,precip,wl,mean_temp,precip,wl,mean_temp,precip,wl
1985-01-01,43.83640922,0.0,3762.54,33.51963598,0.0,3883.16,47.69893976,0.0,3885.15,51.4492572,0.043783276,3884.69,33.51877247,0.0,3873.63,39.52538893,0.0,3879.93,39.76604408,0.000552704,3883.41,,,,,,,42.99981704,0.0,3851.06,33.86777466,0.0,3854.51,40.62417115,0.0,3850.58,40.62417115,0.0,3851.86,40.62417115,0.0,3854.48,28.45064196,0.0,3848.29,25.56845773,0.0,3848.81,43.67566654,0.011950912,3850.03
1985-02-01,49.9850601,0.0,3762.08,38.72448641,0.0,3882.98,40.03914748,0.0,3885.05,40.03914748,0.0,3884.59,39.93631279,0.0,3873.3,40.03782146,0.0,3879.76,42.94712042,0.0,3883.28,,,,49.90537834,0.0,3871.16,42.97682825,0.0,3850.81,45.26780465,0.0,3854.43,42.97727653,0.0,3850.24,42.97727653,0.0,3851.61,42.97727653,0.0,3854.34,38.80810621,0.0,3847.85,46.97471753,0.0,3848.49,32.66115081,0.0,3850.01
1985-03-01,44.51724732,0.0,3763.03,45.9906219,0.010907836,3883.4,63.62306304,0.0,3886.83,63.62306304,0.0,3886.49,48.6007372,0.0,3873.39,47.84750662,0.124752379,3880.4,45.99081768,0.010880626,3884.71,57.08822879,0.0,3870.04,54.33320721,0.001661797,3870.92,47.6304143,0.2070115,3851.25,54.82381834,0.0,3855.48,58.56701669,0.004643904,3850.54,47.64262127,0.201988536,3852.11,64.35069411,0.0,3855.2,64.39940118,0.0,3847.85,64.39940118,0.0,3848.48,58.44126522,0.0,3849.85
1985-04-01,71.79547668,0.0,3764.48,47.79383394,0.0,3883.66,63.08203118,0.0,3887.01,59.15680936,0.0,3886.68,55.41241418,0.0,3872.73,66.56051895,0.0,3880.72,47.78523869,0.0,3885.08,60.10642562,0.0,3869.49,62.54287431,0.0,3870.75,66.60978056,0.0,3850.9,66.60978056,0.0,3855.59,64.17280422,0.0,3849.86,63.65926258,0.0,3851.81,67.61151491,0.000160035,3855.97,70.34482224,0.0,3847.81,63.17660307,0.0,3848.51,64.69465583,0.0,3849.93
1985-05-01,73.94746533,0.0,3762.79,70.77528897,0.0,3883.76,61.05687225,0.0,3887.14,67.66327451,0.0,3886.84,61.05535873,0.0,3872.79,69.63386394,0.0,3880.88,69.63386394,0.0,3885.17,74.88099606,0.0,3869.35,59.62070709,0.0,3870.67,67.48832413,0.0,3851.59,61.20045878,0.0,3855.72,69.80392365,0.0,3850.69,60.08789058,0.0,3852.46,77.82912395,0.0,3856.33,59.95331848,0.0,3848.25,59.9000689,0.0,3849.02,70.88403463,0.0,3850.45
1985-06-01,75.01033174,0.0,3762.37,75.50931207,0.0,3883.76,80.99363689,0.000161853,3887.5,78.02296865,0.0,3887.24,70.39879464,0.0,3872.57,85.42186313,0.0,3881.0,64.52896,0.0,3885.49,74.46370985,0.0,3869.18,80.99707745,7.9383e-05,3870.81,74.0572061,0.000399391,3851.88,82.93611807,0.0,3855.93,72.60885794,0.0,3851.07,77.5507248,0.0,3852.79,82.39170887,0.0,3856.57,74.44031981,0.0,3848.54,69.50425325,0.0,3849.33,65.14642814,0.0,3850.82
1985-07-01,85.41881992,0.0,3762.89,84.4681352,0.0,3883.91,78.62561329,0.105526159,3887.76,78.62561329,0.105526159,3887.51,81.60582679,0.0,3872.83,80.62699605,0.0,3881.32,84.46948071,0.0,3885.72,82.99246829,0.013785101,3869.81,79.54810259,0.0,3871.6,76.79184755,0.0,3852.1,77.43253396,0.024210883,3856.06,82.80429567,0.005683596,3851.32,82.31765903,0.040099605,3853.13,78.86698322,0.084520291,3857.05,78.35293733,0.410329748,3848.75,78.35293733,0.410329748,3849.55,78.7499835,0.099305071,3851.04
1985-08-01,,,,79.42901473,0.002041539,3884.13,79.04251812,0.167776636,3887.47,78.52200219,0.0,3887.16,80.5420984,0.003978383,3873.71,81.4947986,0.178365526,3881.38,81.49317329,0.0,3885.47,79.98844432,0.028185857,3871.43,77.06036223,0.0,3873.4,80.50789576,0.069349927,3852.41,80.50789576,0.069349927,3855.9,82.10332848,0.014798664,3851.54,78.20665751,0.007160644,3853.37,77.68375685,0.095705094,3856.97,77.24655825,0.069913489,3849.13,80.53187229,0.007420216,3849.95,77.25228894,0.0,3851.47
1985-09-01,,,,76.66403248,0.0,3884.1,73.58345788,0.623346879,3887.21,73.58345788,0.623346879,3886.85,72.5,0.196718356,3873.87,75.29801893,0.031697896,3881.41,75.29801893,0.031697896,3885.34,75.39512198,0.016115612,3872.05,69.47570172,0.551395193,3875.45,72.5,0.15643234,3852.5,73.54715945,0.0,3855.56,70.94004228,0.0,3851.93,74.88695813,0.0,3853.33,75.00696538,0.081303027,3856.32,72.5,0.185057372,3849.65,74.90904673,0.124370862,3850.47,75.16484506,0.044262127,3851.83
