Well_ID,Date,WL_elev_ft,P (in),Tmean (F)
CWF-1A,1985-02-15,3766.35,0.000000000,46.996223900
CWF-1A,1985-02-26,3766.38,0.000000000,49.987900830
CWF-1A,1985-03-20,3767.67,0.000000000,44.513991500
CWF-1A,1985-04-23,3767.88,0.000000000,71.834233400
CWF-1A,1985-05-23,3768.16,0.000000000,73.957429010
CWF-1A,1985-06-12,3768.39,0.000000000,78.091831060
CWF-1A,1985-06-13,3769.19,0.000000000,75.012090980
CWF-1A,1985-07-16,3769.23,0.000000000,85.434168160
CWF-1A,1985-11-13,3767.27,0.000000000,53.504868610
CWF-1A,1985-11-27,3767.17,0.000000000,47.497304210
CWF-1A,1985-12-18,3766.98,0.000000000,38.018326710
CWF-1A,1986-01-20,3767.68,0.000000000,49.380267990
CWF-1A,1986-02-22,3767.94,0.000000000,63.884446020
CWF-1A,1986-03-20,3768.24,0.000000000,45.006023550
CWF-1A,1986-04-29,3768.74,0.000000000,67.015602650
CWF-1A,1986-06-04,3769.03,0.048875207,74.483436370
CWF-1A,1986-07-03,3769.58,0.195516664,77.992236050
CWF-1A,1986-08-25,3769.27,0.001492937,76.965555830
CWF-1A,1986-09-22,3768.58,0.000000000,75.495580660
CWF-1A,1986-10-20,3769.56,0.000000000,66.495428730
CWF-1A,1986-11-25,3769.05,0.000000000,45.439586670
CWF-1A,1986-11-29,3769.05,0.000000000,45.494453880
CWF-1A,1987-01-03,3769.42,0.000000000,44.518008160
CWF-1A,1987-12-22,3767.27,0.000000000,41.507167310
CWF-1A,1988-12-21,3767.39,0.000000000,40.506341290
CWF-1A,1989-01-20,3767.14,0.000000000,47.489064990
CWF-1A,1989-02-21,3767.36,0.000000000,50.490835830
CWF-1A,1989-03-26,3769.26,0.000128647,68.402886480
CWF-1A,1989-04-20,3768.37,0.000000000,75.489035370
CWF-1A,1989-05-21,3768.55,0.000000000,76.479985760
CWF-1A,1989-06-22,3769.23,0.000000000,86.492204790
CWF-1A,1989-07-20,3769.08,0.000158659,82.993931320
CWF-1A,1989-08-22,3769.10,0.000157151,76.501006100
CWF-1A,1989-09-19,3767.75,0.000257867,78.482081280
CWF-1A,1989-10-19,3767.13,0.000000000,50.000401050
CWF-1A,1989-11-20,3766.74,0.000000000,52.032515270
CWF-1A,1989-12-19,3766.56,0.000000000,44.498758650
CWF-1A,1990-01-22,3766.62,0.000205127,39.517290180
CWF-1A,1990-02-19,3766.61,0.000000000,42.022215510
CWF-1A,1990-03-19,3768.50,0.000000000,55.524477890
CWF-1A,1990-04-17,3768.04,0.000000000,62.553300370
CWF-1A,1990-05-18,3768.32,0.000000000,78.937421710
CWF-1A,1990-06-20,3769.28,0.000000000,86.010662380
CWF-1A,1990-07-20,3769.05,0.000780296,81.974596880
CWF-1A,1990-08-29,3768.82,0.000000000,80.989874850
CWF-1A,1990-09-19,3768.17,0.006094169,71.331985320
CWF-1A,1990-10-19,3767.48,0.000000000,66.462339880
CWF-1A,1990-11-19,3766.86,0.000000000,58.982278330
CWF-1A,1990-12-24,3766.62,0.000000000,28.984571720
CWF-1A,1991-01-22,3766.58,0.000283233,39.951406280
CWF-1A,1991-02-08,3766.61,0.000000000,56.932798380
CWF-1A,1991-02-21,3766.68,0.000000000,48.452609440
CWF-1A,1991-03-20,3768.56,0.000000000,53.518249520
CWF-1A,1991-04-19,3767.73,0.000000000,64.959448970
CWF-1A,1991-05-20,3768.28,0.000380965,81.954181580
CWF-1A,1991-06-25,3768.75,0.000000000,92.411217300
CWF-1A,1991-07-19,3768.67,0.039087498,84.947220550
CWF-1A,1991-08-15,3769.75,0.000078576,75.984283600
CWF-1A,1991-09-20,3768.78,0.000015835,54.995868780
CWF-1A,1991-10-18,3767.63,0.000000000,68.979137710
CWF-1A,1991-11-20,3766.89,0.000000000,47.941281940
CWF-1A,1991-12-13,3766.78,0.000000000,45.005750940
CWF-1A,1992-01-17,3767.48,0.000000000,31.016162580
CWF-1A,1992-01-23,3767.06,0.000000000,40.004342960
CWF-1A,1992-02-19,3766.95,0.000000000,46.461620860
CWF-1A,1992-03-19,3768.50,0.000000000,53.468087720
CWF-1A,1992-04-20,3768.70,0.000000000,60.435568380
CWF-1A,1992-05-17,3768.74,0.000761931,71.006878540
CWF-1A,1992-06-22,3769.19,0.000031671,79.979909390
CWF-1A,1992-07-18,3768.75,0.000000000,80.490518900
CWF-1A,1992-08-14,3768.94,0.000000000,76.983423070
CWF-1A,1992-09-15,3768.39,0.456271292,76.978986600
CWF-1A,1992-10-19,3768.28,0.000000000,69.451246590
CWF-1A,1992-11-17,3767.57,0.000000000,54.992485980
CWF-1A,1992-12-17,3767.29,0.000000000,35.488415420
CWF-1A,1993-01-20,3767.51,0.000157151,43.982437210
CWF-1A,1993-01-21,3767.53,0.000000000,46.463626130
CWF-1A,1993-02-19,3768.18,0.176117388,58.475832100
CWF-1A,1993-03-19,3768.90,0.000000000,59.505303940
CWF-1A,1993-04-28,3769.17,0.000000000,71.488935430
CWF-1A,1993-05-19,3768.73,0.000000000,74.971139330
CWF-1A,1993-06-21,3769.07,0.001934002,83.972479290
CWF-1A,1993-07-20,3769.57,0.107975250,79.016843180
CWF-1A,1993-08-19,3769.43,1.614259370,76.504986200
CWF-1A,1993-09-21,3768.08,0.000000000,80.453781350
CWF-1A,1993-10-19,3767.44,0.397776422,59.016441310
CWF-1A,1993-11-19,3767.06,0.000000000,53.978327850
CWF-1A,1993-12-22,3766.78,0.221078915,36.000643240
CWF-1A,1994-01-27,3766.91,0.000000000,41.974121080
CWF-1A,1994-03-11,3767.82,0.000000000,56.943732570
CWF-1A,1994-04-15,3767.87,0.000000000,65.982436390
CWF-1A,1994-05-24,3768.34,0.003714507,72.979857330
CWF-1A,1994-06-23,3769.78,0.000000000,86.941446930
CWF-1A,1994-07-22,3768.58,0.000235727,83.491880120
CWF-1A,1994-09-07,3768.60,0.000000000,76.485622130
CWF-1A,1994-10-06,3767.54,0.000000000,68.526731450
CWF-1A,1994-11-22,3766.99,0.000000000,52.959327470
CWF-1A,1994-12-22,3766.72,0.000000000,49.502579880
CWF-1A,1995-02-03,3766.77,0.000000000,52.045443760
CWF-1A,1995-03-16,3768.09,0.000000000,56.328347600
CWF-1A,1995-04-13,3767.47,0.000000000,60.533244200
CWF-1A,1995-05-25,3768.93,0.000000000,70.960577390
CWF-1A,1995-06-15,3769.47,0.000000000,83.483398180
CWF-1A,1995-07-13,3769.13,0.000000000,84.472910980
CWF-1A,1995-08-21,3769.24,0.000000000,81.490881770
CWF-1A,1995-09-21,3768.60,0.000000000,72.510775320
CWF-1A,1995-10-05,3767.88,0.000000000,62.531881800
CWF-1A,1995-11-21,3766.90,0.000000000,55.996014770
CWF-1A,1995-12-14,3766.71,0.000000000,53.003212560
CWF-1A,1996-01-11,3766.30,0.000000000,46.011152540
CWF-1A,1996-02-15,3766.67,0.000000000,56.489620130
CWF-1A,1996-03-13,3768.19,0.000000000,61.483642000
CWF-1A,1996-04-17,3767.72,0.000000000,64.483657530
CWF-1A,1996-05-16,3767.63,0.000000000,86.413745120
CWF-1A,1996-06-19,3768.34,0.000000000,85.975687080
CWF-1A,1996-07-18,3768.12,0.000000000,83.970095570
CWF-1A,1996-08-16,3767.93,0.000000000,81.499637130
CWF-1A,1996-09-18,3767.96,0.000000000,70.980144630
CWF-1A,1996-10-04,3767.48,0.000000000,70.987862650
CWF-1A,1996-11-04,3766.53,0.000000000,54.525159310
CWF-1A,1996-12-18,3766.07,0.000000000,23.550198750
CWF-1A,1997-01-23,3765.90,0.000000000,49.935046640
CWF-1A,1997-02-26,3766.68,0.000000000,44.913109630
